order_id,customer_id,items,aperitifs,appetizers,entrees,desserts,total,total_orders,total_items,total_spent,customer_demographic_id,name,email,phone_number,address,city,state,zip_code,credit_card_number,credit_card_expires,credit_card_security_code,credit_card_provider
f1d6b4c4-0f9f-4ba6-8d5d-f7e4ef7cd9a0,2652,7,Aperol Spritz,Pate,Pork,Tiramisu,751.87,2,11,1088.19,e59cef8f-8b2c-4866-a874-9a824801be7b,Travis Wilson,kimberlysutton@example.net,698-208-4122,23517 Johns Locks,West Paultown,Kansas,06987,3527811548622578,02/24,773,VISA
53dbd01b-d916-40e1-a2ea-214098ce95c6,2652,4,Vermouth,Smoked Salmon,Pizza,Pie,336.32,2,11,1088.19,e59cef8f-8b2c-4866-a874-9a824801be7b,Travis Wilson,kimberlysutton@example.net,698-208-4122,23517 Johns Locks,West Paultown,Kansas,06987,3527811548622578,02/24,773,VISA
7b8a732e-85a0-4fa2-b282-a2d232ee182e,1756,3,Sherry,Pate,Pasta,Cheesecake,156.43,1,3,156.43,41630811-5fa7-49ac-84f5-6d7961a94b2e,Cory Peters,stricklandashley@example.com,,374 Jamie Ways Apt. 220,West Carlos,Wisconsin,01709,3550419833027998,09/26,284,VISA
1eab436d-2acb-4bc8-b849-fbce859ffd8a,2989,5,Bellini,Pate,Lobster,Chocolate Cake,364.13,2,6,1342.88,bf9a9fee-4d30-4076-b92d-059f1814a5cc,Linda Campbell,hgarcia@example.com,984-799-4979,24334 Gregory Crossroad,South Christopherville,Minnesota,99078,2720123349655626,08/30,250,Mastercard
8282ca1b-19de-4acf-b7f9-91bb872782ad,2989,1,Negroni,Cheese Plate,Lamb,Creme Brulee,978.75,2,6,1342.88,bf9a9fee-4d30-4076-b92d-059f1814a5cc,Linda Campbell,hgarcia@example.com,984-799-4979,24334 Gregory Crossroad,South Christopherville,Minnesota,99078,2720123349655626,08/30,250,Mastercard
d6313392-8901-42f6-bf8a-4805fe816a46,9903,3,Sherry,Salad,Pizza,Cheesecake,805.62,1,3,805.62,35217aae-e895-4dbf-bae8-0056412245b5,Glen Stout,steven35@example.net,896-717-8541,726 Daniel Summit,East Danielle,New Jersey,90145,4680962775184362653,06/31,790,VISA
f73f8c45-28c2-473f-a3ba-e65ed5890ac6,8627,2,Port,Pate,Lobster,Pie,638.43,2,3,1337.13,d7e52226-6fd0-4600-b6c1-95001c0c4728,Travis Sandoval,smithkristin@example.org,843-780-6673,632 Drake Shoals,North Johnny,Utah,26125,630487577425,09/30,182,American Express
b3bd89bb-d8d2-4341-8230-1c3ecb70b04e,8627,1,Aperol Spritz,Smoked Salmon,Vegetarian,Pie,698.7,2,3,1337.13,d7e52226-6fd0-4600-b6c1-95001c0c4728,Travis Sandoval,smithkristin@example.org,843-780-6673,632 Drake Shoals,North Johnny,Utah,26125,630487577425,09/30,182,American Express
ff5d6856-7369-459c-a090-997c72578eeb,2323,10,Kir Royale,Smoked Salmon,Lamb,Cookies,936.35,3,20,2187.48,2fc0024b-c2b0-4b5a-af27-a998693fe621,Andrew Washington,hodgescrystal@example.org,848-533-4580 ext: 219,66086 Lin Pike Suite 868,Olsonfort,Idaho,34796,30366285316393,04/25,5530,VISA
2ffdbabf-7a2c-42a7-8108-45e1b4c36ed5,2323,2,Americano,Oysters,Pork,Creme Brulee,807.2,3,20,2187.48,2fc0024b-c2b0-4b5a-af27-a998693fe621,Andrew Washington,hodgescrystal@example.org,848-533-4580 ext: 219,66086 Lin Pike Suite 868,Olsonfort,Idaho,34796,30366285316393,04/25,5530,VISA
