customer_id,total_orders,total_items,total_spent,order_id,items,aperitifs,appetizers,entrees,desserts,total,customer_demographic_id,name,email,phone_number,address,city,state,zip_code,credit_card_number,credit_card_expires,credit_card_security_code,credit_card_provider
3,2,6,417.37,5c77f51d-2790-40fa-91d4-6d6d5e29a762,5,Kir Royale,Cheese Plate,Duck,Tiramisu,215.46,ca182662-b281-433a-a82b-8e061f7bf2cd,Kelly Ramos,nguyenjennifer@example.com,820-824-2003,496 Margaret Shoals,Smithborough,Iowa,42755,4234465830748237,04/33,497,Mastercard
3,2,6,417.37,738e624d-a42b-4dcb-9956-370956bbb98c,1,Kir Royale,Oysters,Duck,Tiramisu,201.91,ca182662-b281-433a-a82b-8e061f7bf2cd,Kelly Ramos,nguyenjennifer@example.com,820-824-2003,496 Margaret Shoals,Smithborough,Iowa,42755,4234465830748237,04/33,497,Mastercard
4,1,10,956.08,6533aeee-9581-4048-b206-13aa13277fd5,10,Sherry,Salad,Chicken,Creme Brulee,956.08,1e7c3a60-4788-4711-809f-b6f8bfbdb18a,Rebekah Fitzgerald,michaelabarr@example.net,269-384-1623 ext: 34240,0807 Logan Fords Suite 355,Contrerasside,Connecticut,64282,4985681645741,10/25,927,Discover
7,1,10,926.46,f3fc1af4-0a52-41b2-a6e8-fe06f7a6d18b,10,Port,Foie Gras,Pork,Creme Brulee,926.46,1e0600ca-5408-42d9-a7c3-be3f6595a90d,Stuart Rivera,uburton@example.com,770-429-0167 ext: 9155,44917 Emily Lakes,Lammouth,Delaware,83547,501874748400,09/29,155,VISA
8,2,16,780.8399999999999,0f578f6b-aad7-48bf-93ad-818b21d26153,6,Sherry,Pate,Chicken,Pudding,375.53,5c3e2f42-066e-49bb-95c4-32bee4d63f1a,Tara Wright,richardsisaac@example.com,889-529-5982 ext: 7535,3921 Yates Glens Apt. 828,Lake Jimmy,Oklahoma,75654,4654180978373303154,05/32,256,JCB
8,2,16,780.8399999999999,1b3dbad2-0bbf-4251-a605-869a14d891b4,10,Champagne,Foie Gras,Lobster,Creme Brulee,405.31,5c3e2f42-066e-49bb-95c4-32bee4d63f1a,Tara Wright,richardsisaac@example.com,889-529-5982 ext: 7535,3921 Yates Glens Apt. 828,Lake Jimmy,Oklahoma,75654,4654180978373303154,05/32,256,JCB
9,2,11,777.25,4aca72ba-94ac-41f9-99bd-4443b1a1d2b0,6,Campari and Soda,Soup,Chicken,Cookies,432.28,cabe760e-0a2b-4d7d-b452-ea317fda4096,Jason Lawrence,smithashley@example.com,886-508-2604,543 Jones Squares,Velezview,Massachusetts,92324,6011988096474234,08/24,602,Maestro
9,2,11,777.25,ebb08500-aeb1-4773-b792-51fb5127b1b5,5,Vermouth,Oysters,Fish,Tiramisu,344.97,cabe760e-0a2b-4d7d-b452-ea317fda4096,Jason Lawrence,smithashley@example.com,886-508-2604,543 Jones Squares,Velezview,Massachusetts,92324,6011988096474234,08/24,602,Maestro
11,2,15,1325.17,0b1bf0a8-8285-4ff3-9f81-b46a08dd3539,6,Sherry,Escargot,Pizza,Ice Cream,942.09,599671a7-2221-4f98-8775-961c6039387c,Christopher Hale,dpotts@example.net,982-985-8137 ext: 948,1993 Susan Route Apt. 457,Patriciaton,Arkansas,59475,3575246342365499,12/31,905,American Express
11,2,15,1325.17,3302e8c3-7c6b-4132-8d6f-663fe9631bd1,9,Kir,Charcuterie,Vegetarian,Chocolate,383.08,599671a7-2221-4f98-8775-961c6039387c,Christopher Hale,dpotts@example.net,982-985-8137 ext: 948,1993 Susan Route Apt. 457,Patriciaton,Arkansas,59475,3575246342365499,12/31,905,American Express
12,4,26,1693.67,5d5c15a0-8158-4305-b663-b5ef24c805a4,8,Sherry,Soup,Lamb,Cheesecake,294.41,a5124322-9e99-4381-84a6-087180fed547,Andrew Weaver,kaylaconley@example.net,515-949-0785 ext: 60793,0548 Matthew Drive Suite 872,Port Benjamin,Michigan,70351,4713270809319410,03/28,550,JCB
12,4,26,1693.67,9534496e-2eae-4c03-86a8-173236f98d41,8,Port,Smoked Salmon,Pasta,Cobbler,256.66,a5124322-9e99-4381-84a6-087180fed547,Andrew Weaver,kaylaconley@example.net,515-949-0785 ext: 60793,0548 Matthew Drive Suite 872,Port Benjamin,Michigan,70351,4713270809319410,03/28,550,JCB
12,4,26,1693.67,fecd847c-7376-4f4c-97bb-9bfd47475074,9,Campari and Soda,Pate,Pasta,Tiramisu,737.46,a5124322-9e99-4381-84a6-087180fed547,Andrew Weaver,kaylaconley@example.net,515-949-0785 ext: 60793,0548 Matthew Drive Suite 872,Port Benjamin,Michigan,70351,4713270809319410,03/28,550,JCB
12,4,26,1693.67,1a28f226-f3d7-493d-af80-9e62202b9468,1,Kir,Smoked Salmon,Steak,Chocolate Cake,405.14,a5124322-9e99-4381-84a6-087180fed547,Andrew Weaver,kaylaconley@example.net,515-949-0785 ext: 60793,0548 Matthew Drive Suite 872,Port Benjamin,Michigan,70351,4713270809319410,03/28,550,JCB
13,1,7,730.58,11b6ea5d-f5b3-4579-a8ad-a177a4b4cc77,7,Negroni,Crudites,Duck,Cobbler,730.58,c5918a1e-6c6c-4d2d-87e9-43b2721a091f,Robert Leon,michaelherman@example.com,616-293-5073 ext: 643,67206 Nicole Cove,Scottchester,New York,12197,36232138529174,02/30,754,Diners Club / Carte Blanche
15,2,11,1021.24,8b3b48b8-9666-407b-81e6-3a4f21fbd09c,7,Americano,Pate,Steak,Cheesecake,590.57,bb50770b-b79f-4a40-8da6-21ff25afcba6,Catherine Montgomery,ingramruth@example.net,878-315-5563 ext: 3795,71243 Brian Field,Josephborough,Illinois,39012,6011304496884065,09/33,533,VISA
15,2,11,1021.24,6f6313ed-98d0-444b-92e7-9870dffb0285,4,Bellini,Charcuterie,Lamb,Pudding,430.67,bb50770b-b79f-4a40-8da6-21ff25afcba6,Catherine Montgomery,ingramruth@example.net,878-315-5563 ext: 3795,71243 Brian Field,Josephborough,Illinois,39012,6011304496884065,09/33,533,VISA
17,2,8,1624.74,8e85908c-2e5b-4a87-bcce-46407293ed08,4,Port,Foie Gras,Burger,Sorbet,799.72,b5835650-f215-4eb0-bd4b-f3cbbbd04f83,Monica Gould,omedina@example.org,318-708-1568 ext: 3810,128 Amanda Unions Apt. 515,Cameronport,Arkansas,15645,213100793366916,05/30,142,Diners Club / Carte Blanche
17,2,8,1624.74,7477e58e-7c3f-413e-8359-80d88084c3e1,4,Campari and Soda,Smoked Salmon,Lamb,Ice Cream,825.02,b5835650-f215-4eb0-bd4b-f3cbbbd04f83,Monica Gould,omedina@example.org,318-708-1568 ext: 3810,128 Amanda Unions Apt. 515,Cameronport,Arkansas,15645,213100793366916,05/30,142,Diners Club / Carte Blanche
22,1,7,907.18,16bdc697-6686-4b2b-8ef4-075a4348bb34,7,Bellini,Escargot,Lobster,Sorbet,907.18,1c8a7ce1-fdf0-40b4-b334-e6c606c05e85,Marcus Jones,tracyross@example.net,610-708-6604 ext: 431,24054 Baldwin Ways,New Amber,Idaho,88375,3597277990775618,01/32,812,Diners Club / Carte Blanche
23,1,7,410.09,ce0099c4-bd9d-4e02-ba91-194062149332,7,Port,Soup,Duck,Tiramisu,410.09,752c2e94-3ebb-45ab-8bff-62753b525819,Travis Peck,shelia38@example.org,704-986-7259 ext: 2239,3472 Gutierrez Key,Phillipsstad,California,11282,213106182744548,04/24,446,JCB
24,1,6,213.56,0e652052-804a-4a6d-b644-803edd3c96bb,6,Sherry,Pate,Steak,Chocolate,213.56,7eb5dde2-7f81-4f5b-b856-8cdf93c899a2,Jason Johnson,davisbrandon@example.com,359-902-9234 ext: 970,9973 Holder Plaza Suite 846,Hollandhaven,Mississippi,75211,6572720485311185,09/29,026,Mastercard
26,1,10,269.99,c68d8e20-77db-4693-b673-75c1ba47a862,10,Vermouth,Salad,Lamb,Cookies,269.99,346b8a9d-9836-4dbb-b774-45a693553b7e,Sherry Sanders,morandiana@example.org,502-798-5055 ext: 86823,787 Jones Manors Suite 286,Port Michellefort,Iowa,97734,4167751298950840,09/30,721,Mastercard
29,1,8,258.77,3b4cdae8-a38f-4110-935c-1f8b7981a9fd,8,Aperol Spritz,Salad,Steak,Creme Brulee,258.77,de371864-097b-4ddc-a9ff-52b66c713bd3,Yesenia Henderson,ericastewart@example.org,215-420-0641,9735 Whitney Ridges Suite 775,Erinview,Arizona,79380,639017605267,01/33,965,JCB
34,1,5,650.07,8c040e69-60b6-465b-84bb-4970522e9059,5,Negroni,Oysters,Steak,Cobbler,650.07,6cb87548-b0c3-4605-bc41-d8f6b6f96b72,Brooke Turner,sarah83@example.org,410-943-5136 ext: 73734,4255 Simpson Fork,New Brandy,Utah,69989,30580180369113,11/26,761,VISA
35,3,20,1507.26,aa599d98-c16c-4de8-9b75-24e204c6cd98,4,Campari and Soda,Pate,Pork,Chocolate,323.22,fda57b45-9803-463e-a754-f4c46bde4514,Kara Johnson,oclements@example.net,321-390-4984,760 Jimenez Alley,Garciaborough,Ohio,17904,4011608766380978259,10/32,984,JCB
35,3,20,1507.26,0698ce37-faa7-48a1-a36f-a3ebfe37d7cd,7,Vermouth,Oysters,Fish,Cobbler,426.92,fda57b45-9803-463e-a754-f4c46bde4514,Kara Johnson,oclements@example.net,321-390-4984,760 Jimenez Alley,Garciaborough,Ohio,17904,4011608766380978259,10/32,984,JCB
35,3,20,1507.26,9d63b7df-ac3d-4252-bf00-6fe694a2b8b3,9,Aperol Spritz,Cheese Plate,Pizza,Chocolate Cake,757.12,fda57b45-9803-463e-a754-f4c46bde4514,Kara Johnson,oclements@example.net,321-390-4984,760 Jimenez Alley,Garciaborough,Ohio,17904,4011608766380978259,10/32,984,JCB
37,1,2,497.03,b79c8c06-35cc-4c37-9b24-c84d3a5435cf,2,Americano,Escargot,Pizza,Cheesecake,497.03,18f717e9-40cd-4527-a0e9-68ed1f8b4994,Joseph Bruce,woodsthomas@example.net,432-411-1910 ext: 809,593 Mcpherson Fall,Kevinhaven,Georgia,54104,2464906668621348,08/32,896,Diners Club / Carte Blanche
41,3,18,1620.15,00a4bbaf-0432-4f84-9436-1c4660e5a3de,9,Americano,Foie Gras,Chicken,Pie,484.87,89d22c16-7a40-4205-bf8e-1bc596946943,Ronald Trujillo,scurtis@example.net,595-874-6038 ext: 41927,57604 Hendrix Lake,Royside,West Virginia,96516,342006493042935,09/32,533,JCB
