customer_id,total_orders,total_items,total_spent,order_id,items,aperitifs,appetizers,entrees,desserts,total,address,city,credit_card_expires,credit_card_number,credit_card_provider,credit_card_security_code,customer_demographics_id,email,name,phone_number,state,zip_code
0,1,9,399.23,42eeb516-07e2-4573-bc1e-0dabf8d112c9,9,Bellini,Smoked Salmon,Burger,Ice Cream,399.23,621 Chavez Ramp Suite 938,West Deniseport,06/31,2269172571677458,Diners Club / Carte Blanche,338,a8c966a0-b670-4044-826c-0e6bfe708259,brett00@example.com,Ronald Rodgers,,New York,59237
3,2,6,417.37,5c77f51d-2790-40fa-91d4-6d6d5e29a762,5,Kir Royale,Cheese Plate,Duck,Tiramisu,215.46,496 Margaret Shoals,Smithborough,04/33,4234465830748237,Mastercard,497,ca182662-b281-433a-a82b-8e061f7bf2cd,nguyenjennifer@example.com,Kelly Ramos,820-824-2003,Iowa,42755
3,2,6,417.37,738e624d-a42b-4dcb-9956-370956bbb98c,1,Kir Royale,Oysters,Duck,Tiramisu,201.91,496 Margaret Shoals,Smithborough,04/33,4234465830748237,Mastercard,497,ca182662-b281-433a-a82b-8e061f7bf2cd,nguyenjennifer@example.com,Kelly Ramos,820-824-2003,Iowa,42755
4,1,10,956.08,6533aeee-9581-4048-b206-13aa13277fd5,10,Sherry,Salad,Chicken,Creme Brulee,956.08,0807 Logan Fords Suite 355,Contrerasside,10/25,4985681645741,Discover,927,1e7c3a60-4788-4711-809f-b6f8bfbdb18a,michaelabarr@example.net,Rebekah Fitzgerald,269-384-1623 ext: 34240,Connecticut,64282
6,1,1,860.08,dc642ff4-161d-4e2a-addd-ff9d4cc942bf,1,Aperol Spritz,Pate,Vegetarian,Pie,860.08,349 Martinez Turnpike,Port Mikaylashire,11/24,2364648842479646,Discover,155,6c84a42c-895d-4c26-8db7-99e0e01ddb6f,quinnrachael@example.net,Paul Reed,,New Hampshire,63162
7,1,10,926.46,f3fc1af4-0a52-41b2-a6e8-fe06f7a6d18b,10,Port,Foie Gras,Pork,Creme Brulee,926.46,44917 Emily Lakes,Lammouth,09/29,501874748400,VISA 16 digit,155,1e0600ca-5408-42d9-a7c3-be3f6595a90d,uburton@example.com,Stuart Rivera,770-429-0167 ext: 9155,Delaware,83547
8,2,16,780.8399999999999,0f578f6b-aad7-48bf-93ad-818b21d26153,6,Sherry,Pate,Chicken,Pudding,375.53,3921 Yates Glens Apt. 828,Lake Jimmy,05/32,4654180978373303154,JCB 16 digit,256,5c3e2f42-066e-49bb-95c4-32bee4d63f1a,richardsisaac@example.com,Tara Wright,889-529-5982 ext: 7535,Oklahoma,75654
8,2,16,780.8399999999999,1b3dbad2-0bbf-4251-a605-869a14d891b4,10,Champagne,Foie Gras,Lobster,Creme Brulee,405.31,3921 Yates Glens Apt. 828,Lake Jimmy,05/32,4654180978373303154,JCB 16 digit,256,5c3e2f42-066e-49bb-95c4-32bee4d63f1a,richardsisaac@example.com,Tara Wright,889-529-5982 ext: 7535,Oklahoma,75654
9,2,11,777.25,4aca72ba-94ac-41f9-99bd-4443b1a1d2b0,6,Campari and Soda,Soup,Chicken,Cookies,432.28,543 Jones Squares,Velezview,08/24,6011988096474234,Maestro,602,cabe760e-0a2b-4d7d-b452-ea317fda4096,smithashley@example.com,Jason Lawrence,886-508-2604,Massachusetts,92324
9,2,11,777.25,ebb08500-aeb1-4773-b792-51fb5127b1b5,5,Vermouth,Oysters,Fish,Tiramisu,344.97,543 Jones Squares,Velezview,08/24,6011988096474234,Maestro,602,cabe760e-0a2b-4d7d-b452-ea317fda4096,smithashley@example.com,Jason Lawrence,886-508-2604,Massachusetts,92324
